Region,02Year,05Year,10Year,15Year,20Year
Abura / Asebu / Kwamankese,0,0,0,0,0
Accra Metropolis,0,0,0,0,0
Ada East,0,0,0,0,0
Ada West,0,0,0,0,0
Adaklu,0,0,0,0,0
Adansi North,0,0,0,0,0
Adansi South,0,0,0,0,0
Adenta,0,0,0,0,0
Afadzato South,0,0,0,0,0
Afigya Kwabre,0,0,0,0,0
Agona East,0,0,0,0,0
Agona West,0,0,0,0,0
Agotime Ziope,0,0,0,0,0
Ahafo Ano North,0,0,0,0,0
Ahafo Ano South,0,0,0,0,0
Ahanta West,0,0,0,0,0
Ajumako / Enyan / Esiam,0,0,0,0,0
Akatsi North,0,0,0,0,0
Akatsi South,0,0,0,0,0
Akwapem North,0,0,0,0,0
Akwapem South,0,0,0,0,0
Akyem Mansa,0,0,0,0,0
Amansie Central,0,0,0,0,0
Amansie West,0,0,0,0,0
Aowin,0,0,0,0,0
Asante Akim Central Municipal,0,0,0,0,0
Asante Akim North,0,0,0,0,0
Asante Akim South,0,0,0,0,0
Ashaiman,0,0,0,0,0
Asikuma / Odoben / Brakwa,0,0,0,0,0
Asokore Mampong Municipal,0,0,0,0,0
Assin North,0,0,0,0,0
Assin South,0,0,0,0,0
Asunafo North,0,0,0,0,0
Asunafo South,0,0,0,0,0
Asuogyaman,0,0,0,0,0
Asutifi North,0,0,0,0,0
Asutifi South,0,0,0,0,0
Atebubu Amantin,0,0,0,0,0
Atiwa,0,0,0,0,0
Atwima Kwanwoma,0,0,0,0,0
Atwima Mponua,0,0,0,0,0
Atwima Nwabiagya,0,0,0,0,0
Awutu Senya East Municipal,0,0,0,0,0
Awutu Senya West,0,0,0,0,0
Ayensuano,0,0,0,0,0
Banda,0,0,0,0,0
Bawku Municipal,0,0,0,0,0
Bawku West,0,0,0,0,0
Bekwai Municipal,0,0,0,0,0
Berekum,0,0,0,0,0
Bia East,0,0,0,0,0
Bia West,0,0,0,0,0
Biakoye,0,0,0,0,0
Binduri,0,0,0,0,0
Birim Municipal,0,0,0,0,0
Birim North,0,0,0,0,0
Birim South,0,0,0,0,0
Bodi,0,0,0,0,0
Bole,0,0,0,0,0
Bolgatanga Municipal,0,0,0,0,0
Bongo,0,0,0,0,0
Bosome Freho,0,0,0,0,0
Bosomtwe / Atwima / Kwanwoma,0,0,0,0,0
Builsa North,0,0,0,0,0
Builsa South,0,0,0,0,0
Bunkpurugu Yonyo,0,0,0,0,0
Cape Coast Metro,0,0,0,0,0
Central Tongu,0,0,0,0,0
Chereponi,0,0,0,0,0
Daffiama Bussie,0,0,0,0,0
Denkyembour,0,0,0,0,0
Dormaa East,0,0,0,0,0
Dormaa Municipal,0,0,0,0,0
Dormaa West,0,0,0,0,0
East Akim,0,0,0,0,0
East Gonja,0,0,0,0,0
Effutu,0,0,0,0,0
Ejisu Juaben,0,0,0,0,0
Ejura Sekye Dumase,0,0,0,0,0
Ekumfi,0,0,0,0,0
Ellembelle,0,0,0,0,0
Fanteakwa,0,0,0,0,0
Ga Central Municipal,0,0,0,0,0
Ga East,0,0,0,0,0
Ga South,0,0,0,0,0
Ga West,0,0,0,0,0
Garu Tempane,0,0,0,0,0
Gomoa East,0,0,0,0,0
Gomoa West,0,0,0,0,0
Gonja Central,0,0,0,0,0
Gushiegu,0,0,0,0,0
Ho Municipal,0,0,0,0,0
Ho West,0,0,0,0,0
Hohoe Municipal,0,0,0,0,0
Jaman North,0,0,0,0,0
Jaman South,0,0,0,0,0
Jasikan,0,0,0,0,0
Jirapa,0,0,0,0,0
Jomoro,0,0,0,0,0
Juabeso,0,0,0,0,0
Kadjebi,0,0,0,0,0
Karaga,0,0,0,0,0
Kasena Nankana East,0,0,0,0,0
Kasena Nankana West,0,0,0,0,0
Keta Municipal,0,0,0,0,0
Ketu North,0,0,0,0,0
Ketu South,0,0,0,0,0
Kintampo North,0,0,0,0,0
Kintampo South,0,0,0,0,0
Kma,0,0,0,0,0
Komenda Edna Eguafo / Abirem,0,0,0,0,0
Kpandai,0,0,0,0,0
Kpando Municipal,0,0,0,0,0
Kpone Katamanso,0,0,0,0,0
Krachi East,0,0,0,0,0
Krachi Nchumuru,0,0,0,0,0
Krachi West,0,0,0,0,0
Kumbumgu,0,0,0,0,0
Kwabre,0,0,0,0,0
Kwaebibirem,0,0,0,0,0
Kwahu Afram Plains North,0,0,0,0,0
Kwahu Afram Plains South,0,0,0,0,0
Kwahu East,0,0,0,0,0
Kwahu South,0,0,0,0,0
Kwahu West,0,0,0,0,0
La Dade Kotopon,0,0,0,0,0
La Nkwantanang Madina,0,0,0,0,0
Lambussie Karni,0,0,0,0,0
Lawra,0,0,0,0,0
Ledzokuku / Krowor,0,0,0,0,0
Lower Manya,0,0,0,0,0
Mampong Municipal,0,0,0,0,0
Mamprugu Moagduri,0,0,0,0,0
Mamprusi East,0,0,0,0,0
Mfantsiman,0,0,0,0,0
Mion,0,0,0,0,0
Mpohor,0,0,0,0,0
Nabdam,0,0,0,0,0
Nadowli / Kaleo,0,0,0,0,0
Nandom,0,0,0,0,0
Nanumba North,0,0,0,0,0
Nanumba South,0,0,0,0,0
New Juaben Municipal,0,0,0,0,0
Ningo Prampram,0,0,0,0,0
Nkoranza North,0,0,0,0,0
Nkoranza South,0,0,0,0,0
Nkwanta North,0,0,0,0,0
Nkwanta South,0,0,0,0,0
North Dayi,0,0,0,0,0
North Gonja,0,0,0,0,0
North Tongu,0,0,0,0,0
Nsawam Adoagyiri,0,0,0,0,0
Nzema East,0,0,0,0,0
Obuasi Municipal,0,0,0,0,0
Offinso Municipal,0,0,0,0,0
Offinso North,0,0,0,0,0
Prestea / Huni Valley,0,0,0,0,0
Pru,0,0,0,0,0
Pusiga,0,0,0,0,0
Saboba,0,0,0,0,0
Sagnerigu,0,0,0,0,0
Savelugu Nanton,0,0,0,0,0
Sawla / Tuna / Kalba,0,0,0,0,0
Sefwi Akontombra,0,0,0,0,0
Sefwi Bibiani / Anhwiaso Bekwai,0,0,0,0,0
Sefwi-Wiawso,0,0,0,0,0
Sekondi Takoradi,0,0,0,0,0
Sekyere Afram Plains North,0,0,0,0,0
Sekyere Central,0,0,0,0,0
Sekyere East,0,0,0,0,0
Sekyere Kumawu,0,0,0,0,0
Sekyere South,0,0,0,0,0
Sene East,0,0,0,0,0
Sene West,0,0,0,0,0
Shai Osu Doku,0,0,0,0,0
Shama,0,0,0,0,0
Sissala  West,0,0,0,0,0
Sissala East,0,0,0,0,0
South Dayi,0,0,0,0,0
South Tongu,0,0,0,0,0
Suaman,0,0,0,0,0
Suhum Municipal,0,0,0,0,0
Sunyani Municipal,0,0,0,0,0
Sunyani West,0,0,0,0,0
Tain,0,0,0,0,0
Talensi,0,0,0,0,0
Tamale North Sub Metro,0,0,0,0,0
Tano North,0,0,0,0,0
Tano South,0,0,0,0,0
Tarkwa Nsuaem,0,0,0,0,0
Tatale,0,0,0,0,0
Techiman Municipal,0,0,0,0,0
Techiman North,0,0,0,0,0
Tema Metropolis,0,0,0,0,0
Tolon,0,0,0,0,0
Twifo Ati-Morkwa,0,0,0,0,0
Twifo Lower Denkyira,0,0,0,0,0
Upper Denkyira East,0,0,0,0,0
Upper Denkyira West,0,0,0,0,0
Upper Manya,0,0,0,0,0
Upper West Akim,0,0,0,0,0
Wa East,0,0,0,0,0
Wa Municipal,0,0,0,0,0
Wa West,0,0,0,0,0
Wassa Amenfi Central,0,0,0,0,0
Wassa Amenfi East,0,0,0,0,0
Wassa Amenfi West,0,0,0,0,0
Wassa East,0,0,0,0,0
Wenchi,0,0,0,0,0
West Akim,0,0,0,0,0
West Gonja,0,0,0,0,0
West Mamprusi,0,0,0,0,0
Yendi Municipal,0,0,0,0,0
Yilo Krobo,0,0,0,0,0
Zabzugu,0,0,0,0,0
