Region,20200812_20200819,20200805_20200812,20200909_20200916,20201014_20201021,20190901_20190920,20200819_20200826,20200826_20200902,20200923_20200930,20200722_20200729,20200715_20200722,20200916_20200923,20200930_20201007,20200902_20200909,20201007_20201014,20180815_20181015
Ketu North,0.04,0.03,0.0,0.76,4.83,0.09,0.0,0.03,0.01,0.0,0.0,0.0,0.09,0.0,0.0
Ketu South,0.75,0.53,0.0,12.25,27.3,0.02,0.06,2.43,0.02,0.27,4.52,0.26,1.37,0.0,0.0
Kintampo North,0.55,0.41,0.11,16.99,16.44,0.27,0.09,10.39,0.05,0.45,3.08,9.74,0.16,6.23,19.36
Kintampo South,0.03,0.0,0.0,0.01,0.14,0.05,0.39,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.07
Kma,0.0,0.0,0.0,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Komenda Edna Eguafo / Abirem,0.89,0.29,0.0,1.02,2.78,0.51,0.03,1.47,0.09,1.43,0.33,1.06,1.19,0.01,0.0
Kpandai,0.54,1.88,5.46,73.99,72.57,1.14,0.08,40.88,0.29,0.4,16.22,31.68,0.99,34.62,75.69
Kpando Municipal,1.1,0.43,0.19,9.13,6.59,0.0,0.1,3.12,0.03,0.0,1.19,3.17,0.14,7.01,0.0
Kpone Katamanso,0.11,0.04,0.02,0.22,0.83,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
Krachi East,9.13,7.09,4.38,110.34,77.45,0.21,5.19,57.9,0.42,1.19,40.92,45.16,2.7,86.52,4.99
Krachi Nchumuru,2.82,0.74,1.61,42.97,28.5,0.89,0.04,30.9,0.07,0.08,12.1,20.99,0.98,20.8,22.42
Krachi West,2.16,1.13,0.95,49.94,37.77,0.33,0.24,31.19,0.07,1.44,14.79,24.82,0.22,27.27,3.44
Kumbumgu,3.13,1.86,168.68,51.43,159.46,3.61,0.94,174.46,0.0,0.83,131.59,125.11,33.49,149.6,188.22
Kwabre,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0
Kwaebibirem,0.0,0.07,0.0,0.12,0.67,0.12,0.0,0.01,0.06,0.0,0.0,0.01,0.0,0.0,0.0
Kwahu Afram Plains North,16.18,11.85,6.51,131.42,80.22,6.39,0.85,59.57,0.24,3.37,32.19,52.96,11.62,95.13,0.0
Kwahu Afram Plains South,16.84,10.93,3.26,113.68,70.06,7.58,2.98,62.82,0.28,9.75,41.2,51.37,13.06,73.76,0.0
Kwahu East,0.11,0.0,0.0,0.49,0.01,0.08,0.54,1.01,0.0,0.14,0.73,0.07,0.03,0.05,0.0
Kwahu South,2.69,0.76,0.12,16.32,8.78,1.26,0.35,6.35,0.05,2.19,5.94,8.28,0.88,7.12,0.0
Kwahu West,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Dade Kotopon,0.01,0.0,0.0,0.01,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Nkwantanang Madina,0.0,0.0,0.0,0.05,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lambussie Karni,0.53,0.0,0.01,0.31,0.63,0.08,0.08,0.12,0.05,0.0,0.01,0.06,0.0,0.2,0.36
Lawra,0.12,0.0,0.19,3.33,13.89,0.0,0.01,1.87,0.05,0.0,1.87,4.9,0.02,1.26,10.77
Ledzokuku / Krowor,0.01,0.01,0.0,0.04,0.13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0
Lower Manya,1.5,1.15,0.05,2.37,2.36,0.07,0.13,0.6,0.01,1.15,0.46,0.81,0.94,1.12,0.0
Mampong Municipal,0.04,0.0,0.0,0.02,0.02,0.05,0.07,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Mamprugu Moagduri,0.08,1.18,75.69,26.34,178.13,5.69,4.77,65.02,0.29,6.55,67.17,93.07,68.01,72.83,158.22
Mamprusi East,0.41,0.15,11.38,1.89,7.34,0.6,2.15,2.38,0.11,0.07,8.66,6.26,15.84,1.18,4.79
Mfantsiman,0.63,0.31,0.0,0.62,1.38,0.23,0.0,0.27,0.08,0.57,0.0,0.5,0.01,0.81,0.0
Mion,0.35,0.23,5.49,4.92,16.13,0.12,0.12,6.79,0.06,0.12,3.52,5.08,1.69,10.38,23.37
Mpohor,0.0,0.01,0.0,0.15,0.34,0.05,0.0,0.04,0.07,0.01,0.0,0.0,0.0,0.0,0.0
Nabdam,0.1,0.08,0.45,0.01,0.87,0.0,0.0,0.01,0.02,0.16,0.13,0.31,0.76,0.23,0.86
Nandom,0.59,0.0,0.08,2.82,10.8,0.0,0.03,3.56,0.03,0.01,0.41,3.68,0.0,0.48,5.36
Nanumba North,0.61,1.18,8.62,53.02,62.13,0.46,0.22,28.13,0.29,0.67,11.91,14.87,1.0,24.7,84.76
Nanumba South,0.97,0.56,10.11,42.09,34.07,0.28,0.01,17.72,0.15,0.2,12.08,20.4,2.58,22.21,38.39
New Juaben Municipal,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ningo Prampram,0.84,0.9,0.0,8.79,7.69,0.06,0.0,0.0,0.0,0.1,0.0,0.03,0.78,0.07,0.0
Nkoranza North,0.04,0.0,0.0,0.0,0.12,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkoranza South,0.0,0.0,0.0,0.01,0.3,0.01,0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Nkwanta North,1.09,0.66,10.59,42.89,28.95,0.67,0.02,24.07,0.1,0.41,13.49,23.97,1.52,26.42,25.51
Nkwanta South,1.04,0.3,0.64,12.12,9.84,0.4,0.0,8.14,0.07,0.37,3.39,6.41,0.11,3.95,7.84
North Dayi,1.07,1.21,0.23,7.54,6.44,0.01,0.04,3.0,0.01,0.01,1.17,2.91,1.27,4.02,0.0
North Gonja,0.91,0.15,44.16,12.88,44.41,0.27,0.45,90.82,0.07,0.61,79.0,51.72,0.99,42.18,128.17
North Tongu,2.5,2.45,0.12,3.61,5.44,0.11,0.09,0.0,0.06,0.02,0.03,0.0,0.23,0.04,0.0
Nsawam Adoagyiri,0.0,0.03,0.0,0.2,0.83,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
Nzema East,0.49,0.1,0.0,1.55,5.36,0.99,0.55,0.41,0.23,2.16,0.1,0.25,1.13,0.03,0.0
Offinso Municipal,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offinso North,0.0,0.01,0.0,0.01,0.37,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prestea / Huni Valley,0.0,1.08,0.0,3.04,4.54,1.04,1.32,0.86,0.43,1.06,0.29,0.13,0.55,0.13,0.0
Pru,0.7,3.91,4.46,72.84,61.35,3.65,0.66,61.13,0.34,1.13,28.32,40.51,1.97,54.05,57.44
Pusiga,0.07,0.06,0.72,0.01,1.25,0.58,0.04,0.53,0.05,0.0,0.17,0.42,0.41,0.12,1.15
Saboba,0.28,1.36,104.1,74.6,36.09,0.37,11.17,107.11,0.01,0.67,96.2,54.35,108.21,78.02,41.65
Sagnerigu,0.0,0.01,0.0,0.01,0.14,0.04,0.0,0.01,0.01,0.22,0.08,0.09,0.0,0.03,0.14
Savelugu Nanton,0.38,5.76,161.73,54.14,154.1,9.4,4.11,138.28,0.01,2.05,130.0,107.13,34.09,123.38,162.69
Sefwi Akontombra,0.01,0.01,0.0,0.22,0.16,0.02,0.01,0.01,0.01,0.0,0.03,0.08,0.2,0.03,0.0
Sefwi-Wiawso,0.05,0.0,0.0,0.12,0.05,0.08,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.08,0.0
Sekondi Takoradi,1.02,0.05,0.0,0.16,0.43,0.02,0.0,0.0,0.03,0.04,0.0,0.04,0.13,0.0,0.0
Sekyere Afram Plains North,0.17,0.01,0.0,0.17,0.66,0.04,0.05,0.32,0.01,0.0,0.19,0.1,0.04,0.0,0.0
Sekyere Central,0.29,0.01,0.0,0.02,1.18,0.08,0.38,0.78,0.02,0.0,0.04,0.01,0.0,0.0,0.0
Sekyere East,0.0,0.0,0.0,0.01,0.04,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sene East,14.02,5.94,2.02,110.34,87.55,1.53,0.9,70.73,0.38,2.59,29.88,65.34,5.47,72.08,14.22
Sene West,5.25,1.69,0.35,40.99,26.01,2.04,0.04,25.4,0.12,0.07,10.0,19.67,7.4,28.77,5.42
Shai Osu Doku,1.46,1.59,0.0,2.25,4.93,0.15,0.07,0.0,0.0,0.01,0.0,0.0,0.2,0.01,0.0
Shama,0.5,0.41,0.0,1.83,1.95,0.55,0.0,0.61,0.12,0.72,0.0,1.23,0.5,0.01,0.0
Sissala  West,0.35,0.0,0.12,0.98,2.38,0.29,0.13,0.29,0.1,0.95,0.47,0.0,0.0,0.75,1.48
Sissala East,0.7,0.21,0.33,1.19,9.73,0.8,0.41,0.19,0.57,1.37,0.66,4.16,2.17,2.78,6.12
South Dayi,1.36,1.32,0.08,7.77,4.72,0.01,0.02,1.89,0.0,0.76,0.82,2.49,0.19,2.99,0.0
South Tongu,1.85,3.71,0.0,2.87,9.57,0.53,0.11,0.0,0.13,0.08,0.0,0.16,1.2,0.66,0.0
Suaman,0.1,0.0,0.0,0.03,1.54,0.04,0.0,0.05,0.01,0.0,0.33,0.07,0.0,0.04,0.0
Suhum Municipal,0.02,0.0,0.0,0.02,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunyani Municipal,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0
Sunyani West,0.01,0.0,0.0,0.1,0.05,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Tain,0.02,0.0,0.13,0.08,0.11,0.07,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0
Talensi,0.45,0.14,12.39,3.66,19.22,0.64,11.91,10.78,0.11,0.21,19.71,13.35,30.9,2.83,12.24
Tamale North Sub Metro,0.02,0.09,0.94,0.51,6.64,0.19,0.25,0.54,0.04,1.43,0.22,2.96,0.0,5.29,18.4
Tano North,0.0,0.0,0.0,0.01,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tano South,0.0,0.0,0.0,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarkwa Nsuaem,0.0,0.14,0.0,4.35,4.17,0.63,0.08,0.04,0.25,0.5,1.5,0.0,0.0,0.02,0.0
Tatale,0.29,0.2,6.47,6.52,3.3,0.06,0.0,6.59,0.07,0.28,5.16,4.52,3.18,5.83,5.8
Techiman Municipal,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Techiman North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tema Metropolis,0.1,0.01,0.0,0.01,0.34,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.22,0.0
Tolon,1.19,0.02,81.41,11.87,54.22,0.49,0.53,74.15,0.01,0.53,76.91,47.09,1.69,59.31,92.63
Twifo Ati-Morkwa,0.09,0.56,0.0,0.25,1.76,1.01,0.0,0.68,0.08,0.17,0.0,0.0,0.38,0.96,0.0
Twifo Lower Denkyira,0.0,0.01,0.0,0.1,0.02,0.01,0.0,0.0,0.03,0.2,0.0,0.0,0.01,0.04,0.0
Upper Denkyira East,0.0,0.07,0.0,1.11,0.5,0.35,0.0,0.0,0.02,0.0,0.0,0.0,0.27,0.02,0.0
Upper Denkyira West,0.0,0.54,0.0,5.51,1.72,2.57,0.0,0.13,0.01,0.01,0.03,0.01,0.29,0.83,0.0
Upper Manya,4.56,3.34,0.53,18.34,12.89,0.6,0.37,6.96,0.09,3.24,3.52,7.55,2.37,9.53,0.0
Upper West Akim,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Wa East,2.43,0.65,0.39,3.08,10.99,0.57,0.07,2.71,1.06,0.82,0.45,7.2,0.09,2.93,7.15
Wa Municipal,0.09,0.0,0.35,0.6,0.0,0.03,0.0,0.05,0.01,0.0,0.04,0.07,0.0,0.27,0.54
Wa West,0.09,0.0,2.02,4.54,14.07,0.07,0.0,1.76,0.03,0.0,0.21,1.23,0.13,0.78,12.35
Wassa Amenfi Central,0.0,0.67,0.0,1.04,1.96,0.86,0.08,0.49,0.13,0.11,0.03,0.03,0.37,0.17,0.0
Wassa Amenfi East,0.0,0.71,0.0,0.63,2.34,0.77,0.03,0.54,0.08,0.11,0.03,0.02,0.48,0.36,0.0
Wassa Amenfi West,0.0,0.21,0.0,1.39,1.98,0.72,0.32,0.36,0.05,0.29,0.02,0.09,1.44,0.06,0.0
Wassa East,1.16,0.15,0.0,3.05,0.69,0.51,0.0,0.52,0.31,1.15,0.02,0.06,1.31,0.62,0.0
Wenchi,0.0,0.0,0.0,0.01,0.18,0.13,0.07,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
West Akim,0.14,0.07,0.0,0.11,0.8,0.01,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.42,0.0
West Gonja,0.28,0.02,6.13,4.83,10.68,0.13,0.34,31.56,0.18,0.69,27.01,7.63,0.05,5.41,48.8
West Mamprusi,0.46,2.85,174.9,59.47,203.95,10.3,23.2,172.46,0.25,0.98,178.26,145.18,155.99,116.22,194.66
Yendi Municipal,0.56,0.19,12.46,5.98,8.52,0.16,0.0,12.44,0.11,0.01,9.66,8.14,8.17,8.77,8.5
Yilo Krobo,0.05,0.03,0.0,0.4,0.38,0.01,0.0,0.19,0.0,0.0,0.18,0.28,0.0,0.28,0.0
Zabzugu,0.54,0.11,9.35,9.14,3.67,0.05,0.0,10.5,0.04,0.14,7.64,5.15,3.02,6.47,12.94
