Region,20200930_20201007,20200916_20200923,20200715_20200722,20180815_20181015,20200902_20200909,20201007_20201014,20190901_20190920,20200812_20200819,20201014_20201021,20200805_20200812,20200909_20200916,20200826_20200902,20200819_20200826,20200722_20200729,20200923_20200930
Abura / Asebu / Kwamankese,0,0,0,0,0,0,1500,0.0,50,0,0,0,0,0,50
Accra Metropolis,90,0,380,0,0,120,8674,40.0,244,90,0,0,0,40,0
Ada East,0,0,0,0,200,0,460,0.0,500,0,780,0,0,0,0
Ada West,0,0,50,0,30,0,480,170.0,2940,80,0,0,0,0,0
Adaklu,0,0,0,0,0,0,390,30.0,0,0,0,0,0,0,0
Adansi North,0,0,0,0,0,0,20,0.0,1100,50,0,0,130,0,0
Adansi South,0,0,0,0,510,0,236,0.0,286,0,0,0,140,80,780
Adenta,0,0,0,0,0,0,3176,40.0,36,0,0,0,0,0,0
Afadzato South,50,30,0,0,0,0,199,80.0,70,0,0,0,0,20,40
Afigya Kwabre,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,130
Agona East,0,0,0,0,0,60,525,0.0,720,0,0,0,0,40,0
Agona West,0,0,0,0,0,1500,885,50.0,0,0,0,0,290,60,0
Agotime Ziope,0,0,0,0,0,0,130,0.0,0,0,0,0,40,0,0
Ahafo Ano North,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Ahafo Ano South,0,0,0,0,0,10,0,0.0,0,0,0,0,0,0,1490
Ahanta West,60,0,500,0,150,0,2090,14772.0,350,50,0,0,10,150,0
Ajumako / Enyan / Esiam,0,0,0,0,0,90,800,,0,40,0,0,520,150,0
Akatsi North,0,0,0,0,0,0,287,0.0,0,0,0,0,0,0,0
Akatsi South,0,0,0,0,0,0,3440,70.0,10,10,0,0,0,0,0
Akwapem North,0,0,0,0,0,0,1592,10.0,40,0,0,0,70,0,0
Akwapem South,0,0,0,0,0,0,100,10.0,220,0,0,0,80,0,0
Akyem Mansa,0,0,0,0,0,0,60,0.0,20,0,0,0,0,50,0
Amansie Central,0,0,0,0,0,0,20,0.0,180,0,0,0,0,30,0
Amansie West,0,0,0,0,0,0,1210,0.0,550,80,0,0,280,0,100
Aowin,50,460,140,0,80,150,2314,0.0,654,0,0,0,0,140,80
Asante Akim Central Municipal,0,0,0,0,0,60,310,0.0,40,0,0,0,0,0,0
Asante Akim North,0,180,0,0,0,0,0,30.0,80,0,0,0,50,0,50
Asante Akim South,0,0,0,0,0,0,810,0.0,0,0,0,0,0,0,0
Ashaiman,0,0,0,0,0,0,400,10.0,0,0,0,0,0,0,0
Asikuma / Odoben / Brakwa,0,0,0,0,0,190,0,0.0,130,0,0,0,0,0,0
Asokore Mampong Municipal,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Assin North,0,0,0,0,0,60,14,0.0,24,0,0,0,260,40,0
Assin South,0,0,0,0,0,90,520,0.0,0,40,0,0,0,120,20
Asunafo North,0,600,0,0,0,0,0,20.0,50,0,0,60,0,0,0
Asunafo South,110,0,0,0,0,0,0,150.0,0,0,0,0,0,0,0
Asuogyaman,0,0,1260,0,0,0,1660,150.0,340,110,0,0,0,0,0
Asutifi North,0,0,0,0,0,0,10,0.0,100,0,0,0,0,0,0
Asutifi South,0,280,0,0,0,0,0,40.0,0,0,0,0,0,10,0
Atebubu Amantin,0,0,0,0,0,0,620,150.0,0,0,0,0,446,0,0
Atiwa,30,0,0,0,210,0,840,0.0,0,230,0,0,1060,120,0
Atwima Kwanwoma,0,0,0,0,0,0,160,0.0,0,0,0,0,270,0,0
Atwima Mponua,0,0,0,0,40,0,2050,0.0,640,50,0,0,30,0,0
Atwima Nwabiagya,0,370,0,0,0,220,0,0.0,80,0,0,0,0,160,0
Awutu Senya East Municipal,100,0,30,0,0,0,11790,0.0,0,0,0,0,0,220,0
Awutu Senya West,0,0,270,0,0,60,560,,40,0,0,0,90,30,70
Ayensuano,120,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Banda,90,0,0,130,0,260,15050,130.0,180,0,10,60,0,40,0
Bawku Municipal,120,553,0,3001,281,0,389,170.0,30,90,269,196,0,0,146
Bawku West,90,890,100,291,1480,60,130,0.0,0,0,230,1000,0,10,0
Bekwai Municipal,0,0,0,0,0,0,1000,0.0,590,0,0,0,10,0,0
Berekum,0,0,0,0,0,0,1470,0.0,180,0,0,0,0,0,0
Bia East,0,0,0,0,0,0,0,0.0,50,0,0,0,0,0,0
Bia West,0,0,0,0,0,80,60,0.0,0,0,0,0,0,0,0
Biakoye,0,0,10,0,0,20,11,80.0,140,0,50,0,0,0,0
Binduri,460,0,0,3374,4230,100,900,120.0,200,90,3450,3018,0,40,30
Birim Municipal,0,0,210,0,0,0,0,0.0,560,533,0,0,110,180,0
Birim North,0,0,0,0,0,120,2520,0.0,3560,680,0,0,720,40,0
Birim South,0,0,0,0,0,980,0,0.0,0,77,0,0,0,20,0
Bodi,110,80,0,0,0,0,160,70.0,0,0,0,0,0,60,0
Bole,19,69,0,2880,0,0,16879,120.0,310,0,0,270,260,120,139
Bolgatanga Municipal,70,300,790,2168,1208,170,1048,70.0,0,130,0,0,48,80,21
Bongo,290,231,210,751,641,210,680,0.0,30,0,0,0,0,0,320
Bosome Freho,0,0,0,0,0,0,380,0.0,0,10,0,0,0,50,0
Bosomtwe / Atwima / Kwanwoma,0,0,0,0,0,0,0,,230,0,0,0,0,0,0
Builsa North,400,10,190,230,80,10,926,50.0,120,0,0,0,50,10,0
Builsa South,754,0,0,410,430,390,1574,0.0,170,0,20,0,0,0,100
Bunkpurugu Yonyo,2122,1413,0,1310,1091,330,1140,30.0,70,70,828,960,240,180,280
Cape Coast Metro,0,77,97,0,107,0,4360,7057.0,30,0,0,0,0,90,0
Central Tongu,220,0,0,0,0,0,2967,270.0,140,0,0,0,160,0,0
Chereponi,35559,28537,140,34943,25746,33430,9157,0.0,29385,218,38023,2310,30,0,30234
Daffiama Bussie,130,0,0,110,0,0,650,0.0,190,0,0,0,0,20,0
Denkyembour,0,0,0,0,0,0,50,0.0,0,70,0,0,120,60,0
Dormaa East,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Dormaa Municipal,0,0,0,0,0,20,0,0.0,80,0,0,0,0,0,160
Dormaa West,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
East Akim,0,0,0,0,0,0,180,0.0,0,0,0,1120,340,0,90
East Gonja,1030,120,194,10049,0,3170,3131,2834.0,1844,54,210,0,420,0,724
Effutu,0,0,40,0,200,0,590,0.0,330,0,0,0,0,150,0
Ejisu Juaben,0,0,0,0,0,80,210,0.0,190,20,0,0,0,20,520
Ejura Sekye Dumase,0,0,0,0,0,0,0,0.0,0,0,0,0,40,0,0
Ekumfi,0,0,30,0,0,840,1390,10.0,70,0,0,0,0,0,0
Ellembelle,0,0,510,0,0,0,1090,5680.0,2760,0,0,0,0,50,0
Fanteakwa,40,540,0,0,120,50,270,0.0,220,380,0,50,20,0,150
Ga Central Municipal,0,0,0,0,0,0,1130,0.0,0,0,0,0,0,120,0
Ga East,0,0,0,0,0,0,39696,30.0,0,140,0,0,0,80,0
Ga South,730,0,2910,0,870,820,15640,1920.0,10480,860,0,0,120,700,740
Ga West,0,0,0,0,0,0,18954,0.0,40,180,0,0,0,370,0
Garu Tempane,640,590,0,1883,1070,160,1220,310.0,0,110,1150,202,0,130,730
Gomoa East,0,0,120,0,0,30,12150,0.0,730,90,0,0,0,435,110
Gomoa West,0,0,60,0,0,480,5270,160.0,10,0,0,0,270,115,0
Gonja Central,1443,8981,150,8754,160,1568,2458,150.0,1861,0,1428,0,270,0,4859
Gushiegu,80,60,0,320,360,0,300,0.0,0,40,60,0,0,40,0
Ho Municipal,0,0,0,0,0,0,160,10.0,0,0,0,0,0,0,0
Ho West,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Hohoe Municipal,0,0,0,0,0,0,280,50.0,0,0,0,0,0,30,0
Jaman North,0,0,0,0,0,0,0,0.0,0,0,20,0,0,0,0
Jaman South,0,0,0,0,0,0,0,0.0,260,0,0,0,0,0,0
Jasikan,0,0,0,0,0,0,100,0.0,0,0,0,0,0,0,0
Jirapa,240,0,0,360,0,0,1030,120.0,40,0,0,0,0,40,110
Jomoro,0,0,310,0,180,300,2256,1180.0,1226,0,0,0,40,43,0
Juabeso,90,170,0,0,0,0,1760,0.0,0,0,0,0,0,0,0
Kadjebi,0,0,0,0,0,0,40,0.0,0,0,0,0,0,0,0
Karaga,10360,3440,330,4950,11440,970,7630,0.0,1000,690,6050,2160,2050,10,2990
Kasena Nankana East,1117,2376,270,670,3515,200,3106,20.0,30,60,186,120,40,120,1429
Kasena Nankana West,480,0,40,290,150,120,720,60.0,0,0,0,0,0,90,0
Keta Municipal,10,85,0,0,120,0,8402,50.0,2190,90,0,0,0,90,0
Ketu North,0,0,0,0,0,0,5433,10.0,64,0,0,0,0,0,0
Ketu South,0,615,230,0,570,0,10848,380.0,9260,1530,0,260,0,50,760
Kintampo North,47,131,36,1414,80,37,827,44.0,337,0,0,0,0,0,297
Kintampo South,0,0,0,0,0,0,0,36.0,0,0,0,0,0,20,0
Kma,0,120,0,0,0,100,0,0.0,0,0,0,0,0,30,0
Komenda Edna Eguafo / Abirem,30,83,1153,0,93,0,3500,4633.0,70,0,0,0,0,0,370
Kpandai,8384,1997,30,9493,410,5777,12055,0.0,12217,870,80,0,80,240,8350
Kpando Municipal,160,30,0,0,0,260,1456,100.0,370,0,0,0,0,0,80
Kpone Katamanso,0,0,0,0,0,80,8264,110.0,330,60,0,60,0,0,0
Krachi East,840,470,150,180,250,870,1489,0.0,1430,110,70,600,90,0,680
Krachi Nchumuru,18498,12123,0,21151,690,18106,24121,2906.0,35125,540,2180,0,1580,130,27763
Krachi West,1110,460,710,450,0,810,1050,350.0,3450,0,180,0,0,0,820
Kumbumgu,5499,9905,280,11985,314,9565,11449,0.0,2105,0,7948,0,112,0,11391
Kwabre,0,760,0,0,0,0,0,0.0,190,0,0,0,0,0,0
Kwaebibirem,0,0,0,0,0,0,4360,0.0,220,0,0,0,610,30,0
Kwahu Afram Plains North,1160,720,180,0,0,1320,800,460.0,2700,50,130,0,0,0,770
Kwahu Afram Plains South,670,760,90,0,50,830,320,350.0,2770,20,30,220,320,0,1190
Kwahu East,50,350,180,0,0,0,0,10.0,52,0,0,60,0,0,590
Kwahu South,380,570,20,0,0,260,10,20.0,528,20,0,20,0,0,210
Kwahu West,0,0,0,0,0,100,0,0.0,0,0,0,0,0,0,630
La Dade Kotopon,0,0,0,0,0,170,2860,0.0,0,40,0,0,0,0,0
La Nkwantanang Madina,90,0,0,0,0,0,14156,0.0,1010,0,0,0,0,0,0
Lambussie Karni,0,0,0,40,0,220,49,90.0,40,0,0,0,50,60,0
Lawra,589,143,0,1801,0,163,3611,59.0,239,0,0,0,0,10,216
Ledzokuku / Krowor,0,0,0,0,0,10,0,0.0,0,0,0,0,0,0,0
Lower Manya,0,0,0,0,0,0,130,0.0,0,30,0,0,0,0,0
Mampong Municipal,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0
Mamprugu Moagduri,520,131,40,1221,101,1,1650,0.0,170,110,130,0,520,150,140
Mamprusi East,268,707,0,670,439,0,180,90.0,20,0,382,40,60,60,0
Mfantsiman,80,0,910,0,0,0,580,1392.0,120,290,0,0,90,70,90
Mion,1120,773,0,5150,0,1186,4000,30.0,599,1,1069,0,0,90,2024
Mpohor,0,0,0,0,0,0,220,0.0,150,0,0,0,10,0,0
Nabdam,0,0,70,49,0,0,0,10.0,0,0,0,0,0,60,0
Nadowli / Kaleo,444,0,10,80,0,100,1830,,460,0,0,0,0,10,0
Nandom,411,0,0,671,0,0,3416,481.0,671,0,0,0,0,0,451
Nanumba North,540,1197,220,10391,10,1594,5392,60.0,2777,482,851,80,40,0,2272
Nanumba South,200,40,110,3139,180,119,1052,0.0,422,48,10,0,120,0,108
New Juaben Municipal,0,0,0,0,0,0,668,80.0,0,0,0,0,0,60,60
Ningo Prampram,0,0,410,0,0,150,5320,70.0,1560,0,0,0,10,0,0
Nkoranza North,0,0,0,0,0,0,0,0.0,0,0,0,0,104,0,0
Nkoranza South,0,0,0,0,0,0,0,0.0,0,0,0,110,110,0,0
Nkwanta North,810,170,230,1583,0,291,863,0.0,828,225,30,0,0,20,122
Nkwanta South,10,90,520,1490,0,0,1110,30.0,0,0,0,0,130,0,0
North Dayi,60,0,0,0,0,50,55,0.0,10,0,0,0,0,0,70
North Gonja,1275,2691,0,3531,0,303,665,0.0,30,0,3271,0,0,30,2061
North Tongu,0,0,0,0,0,0,1260,200.0,470,60,60,10,0,0,0
Nsawam Adoagyiri,170,0,0,0,0,0,1680,0.0,20,80,0,0,0,40,0
Nzema East,130,0,630,0,200,0,1810,2333.0,160,0,0,110,60,70,0
Obuasi Municipal,0,0,0,0,0,70,0,,1040,0,0,0,110,0,600
Offinso Municipal,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,20
Offinso North,0,0,0,0,0,0,0,0.0,0,0,0,0,40,0,0
Prestea / Huni Valley,0,0,220,0,50,20,1940,0.0,2620,30,0,0,0,105,40
Pru,280,0,80,3359,0,240,240,180.0,660,0,0,0,20,0,40
Pusiga,110,30,0,687,212,0,417,0.0,0,40,167,0,70,20,0
Saboba,9451,14545,50,8158,15756,14582,4235,30.0,16208,135,18543,610,0,20,19628
Sagnerigu,20,650,980,650,0,0,20,0.0,0,0,0,0,190,200,0
Savelugu Nanton,3993,5244,890,11186,1240,8574,13058,0.0,2801,1079,10471,0,976,10,9117
Sawla / Tuna / Kalba,0,0,0,20,0,0,1110,,280,0,270,0,70,40,30
Sefwi Akontombra,0,0,0,0,0,0,110,0.0,270,0,0,0,0,10,0
Sefwi Bibiani / Anhwiaso Bekwai,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Sefwi-Wiawso,0,0,0,0,0,0,0,490.0,0,0,0,0,0,0,0
Sekondi Takoradi,0,0,380,0,1070,0,2570,12678.0,30,140,0,0,0,0,0
Sekyere Afram Plains North,0,0,0,0,0,0,510,0.0,0,0,0,0,130,0,0
Sekyere Central,0,0,0,0,0,0,650,0.0,30,0,0,120,0,0,60
Sekyere East,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1220
Sekyere Kumawu,0,0,0,0,0,0,0,,0,0,0,0,0,0,70
Sekyere South,0,0,0,0,0,0,0,,0,0,0,0,0,0,400
Sene East,1107,290,0,240,0,1657,730,70.0,3067,0,0,0,800,0,907
Sene West,0,1290,0,0,0,0,290,0.0,90,0,0,0,400,0,0
Shai Osu Doku,0,0,0,0,110,0,2860,200.0,570,340,0,70,0,10,0
Shama,150,0,500,0,530,0,240,1460.0,410,160,0,0,200,20,130
Sissala  West,0,0,0,0,0,0,4031,40.0,0,0,470,0,50,0,0
Sissala East,670,80,0,370,220,520,2240,50.0,40,0,30,0,0,90,0
South Dayi,0,50,0,0,0,0,0,0.0,420,0,0,0,0,0,0
South Tongu,0,0,0,0,70,0,8613,60.0,300,10,0,0,50,0,0
Suaman,0,10,0,0,0,0,200,250.0,0,0,0,0,0,0,0
Suhum Municipal,0,0,0,0,0,0,0,0.0,140,0,0,0,0,0,0
Sunyani Municipal,0,0,0,0,0,390,34,0.0,480,0,0,0,0,10,0
Sunyani West,0,0,0,0,0,0,456,0.0,920,0,0,0,0,90,0
Tain,0,0,0,0,0,0,0,10.0,260,0,0,0,0,20,0
Talensi,22,50,240,1735,595,0,115,0.0,70,0,180,0,45,0,22
Tamale North Sub Metro,50,0,110,3910,0,40,110,90.0,60,10,0,0,60,10,0
Tano North,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Tano South,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Tarkwa Nsuaem,0,1560,820,0,0,70,6570,0.0,9010,10,0,50,200,190,0
Tatale,69,0,170,2926,240,110,154,70.0,0,0,100,0,0,0,108
Techiman Municipal,0,0,0,0,0,0,0,0.0,370,0,0,0,0,0,0
Techiman North,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Tema Metropolis,0,0,0,0,0,0,80,0.0,0,0,0,0,0,0,0
Tolon,429,2099,210,2872,0,762,1074,0.0,11,0,2319,0,0,10,1724
Twifo Ati-Morkwa,0,0,40,0,0,10,130,0.0,0,0,0,0,0,30,0
Twifo Lower Denkyira,0,0,130,0,0,0,0,0.0,0,0,0,0,0,0,0
Upper Denkyira East,0,0,0,0,0,0,100,0.0,2810,0,0,0,0,0,0
Upper Denkyira West,0,440,0,0,0,686,910,0.0,4998,210,0,0,360,20,1470
Upper Manya,0,70,60,0,0,60,340,0.0,0,0,0,30,0,0,20
Upper West Akim,0,0,0,0,0,0,0,0.0,200,0,0,0,70,0,0
Wa East,420,0,40,110,0,220,120,60.0,170,0,0,0,0,130,40
Wa Municipal,0,0,0,60,0,1090,0,180.0,100,0,0,0,0,0,0
Wa West,16,0,0,1090,0,0,1100,30.0,880,0,330,0,120,0,290
Wassa Amenfi Central,0,0,20,0,0,0,0,0.0,400,160,0,0,50,5,10
Wassa Amenfi East,0,0,10,0,0,134,60,0.0,512,250,0,0,250,10,310
Wassa Amenfi West,0,0,0,0,0,0,50,0.0,80,0,0,0,0,80,0
Wassa East,0,0,440,0,170,0,30,0.0,720,0,0,0,0,140,0
Wenchi,0,0,0,0,0,0,10,0.0,0,0,0,0,0,0,0
West Akim,0,0,0,0,0,50,20,0.0,0,0,0,0,0,10,0
West Gonja,26,1899,40,1586,0,160,1806,0.0,92,0,2,80,30,10,789
West Mamprusi,10725,29704,180,22250,38947,9019,32255,100.0,2824,51,23135,10000,199,60,16049
Yendi Municipal,1340,848,0,1745,130,960,596,320.0,860,0,1255,0,0,0,1825
Yilo Krobo,0,0,0,0,0,0,150,0.0,200,0,0,0,0,0,0
Zabzugu,661,350,210,3670,560,300,310,50.0,430,30,785,0,0,0,1175
