|,|__District,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Hospitals
Hospital_Impacts,Jasikan,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Kadjebi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkwanta South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Krachi Nchumuru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkwanta North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Krachi West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Biakoye,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Krachi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Dormaa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Banda,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Jaman South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Sunyani Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Jaman North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Berekum,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Dormaa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wenchi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sunyani West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Tain,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Dormaa Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asutifi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Asutifi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asunafo South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asunafo North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Tano South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Tano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,North Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Akatsi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,South Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Agotime Ziope,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Adaklu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ho West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Akatsi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ketu South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,South Dayi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kpando Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,North Dayi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Central Tongu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Afadzato South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ketu North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Ho Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Hohoe Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Keta Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Asante Akim South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sekyere Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Sekyere Afram Plains North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asante Akim North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Offinso Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sekyere Kumawu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ahafo Ano North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sekyere South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asokore Mampong Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kwabre,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Amansie Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ejisu Juaben,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bosome Freho,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Obuasi Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Mampong Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Atwima Kwanwoma,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Kma,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,19
,Asante Akim Central Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Amansie West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ahafo Ano South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ejura Sekye Dumase,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Adansi South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Atwima Mponua,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Adansi North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Atwima Nwabiagya,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Bekwai Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Bosomtwe / Atwima / Kwanwoma,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Afigya Kwabre,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Offinso North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Sekyere East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Cape Coast Metro,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1,6
,Agona East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Upper Denkyira West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Twifo Ati-Morkwa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Awutu Senya East Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ajumako / Enyan / Esiam,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Gomoa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Abura / Asebu / Kwamankese,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Asikuma / Odoben / Brakwa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Agona West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Twifo Lower Denkyira,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Upper Denkyira East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Awutu Senya West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Komenda Edna Eguafo / Abirem,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Assin South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Assin North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Mfantsiman,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Effutu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Ekumfi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Gomoa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Akwapem South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Lower Manya,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kwahu East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nsawam Adoagyiri,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Kwahu Afram Plains South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Denkyembour,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kwahu Afram Plains North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kwaebibirem,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Yilo Krobo,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Asuogyaman,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Upper West Akim,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Birim Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1,1
,Akwapem North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Akyem Mansa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Kwahu South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,New Juaben Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Fanteakwa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,West Akim,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Upper Manya,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Birim North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ayensuano,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,East Akim,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Suhum Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Birim South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Atiwa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Kwahu West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,8
,Sekondi Takoradi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,5
,Mpohor,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Jomoro,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Shama,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ahanta West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wassa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nzema East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Wassa Amenfi Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wassa Amenfi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Prestea / Huni Valley,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wassa Amenfi West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Ellembelle,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Tarkwa Nsuaem,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,8
,Nanumba North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Karaga,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Kpandai,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Savelugu Nanton,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Sagnerigu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Zabzugu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Tatale,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Tamale North Sub Metro,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Gushiegu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kumbumgu,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Tolon,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Saboba,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Yendi Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Nanumba South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Mion,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Gonja Central,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,East Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,West Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,North Gonja,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sawla / Tuna / Kalba,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bole,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sene East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nkoranza North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sene West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Atebubu Amantin,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Pru,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Techiman Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,6
,Techiman North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Kintampo South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kintampo North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Nkoranza South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,West Mamprusi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Mamprusi East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Chereponi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bunkpurugu Yonyo,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Mamprugu Moagduri,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nabdam,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Garu Tempane,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Kasena Nankana West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bolgatanga Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Talensi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Bawku West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Pusiga,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bongo,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bawku Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Builsa South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Builsa North,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Kasena Nankana East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Binduri,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Lawra,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Jirapa,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nandom,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sissala East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wa East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Nadowli / Kaleo,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Daffiama Bussie,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sissala  West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wa Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,1,2
,Lambussie Karni,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Wa West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ga West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ga Central Municipal,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ledzokuku / Krowor,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,5
,Ada West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Ashaiman,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Shai Osu Doku,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,2
,Kpone Katamanso,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Tema Metropolis,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,15
,La Nkwantanang Madina,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,7
,Ga South,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,7
,Ningo Prampram,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Ga East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,6
,Adenta,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,3
,Ada East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,La Dade Kotopon,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,5
,Accra Metropolis,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,44
,Bia West,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,1
,Sefwi Bibiani / Anhwiaso Bekwai,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,4
,Bodi,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Aowin,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sefwi Akontombra,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Juabeso,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Suaman,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Sefwi-Wiawso,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0
,Bia East,Ghana_MaxFlood__20200715_20201014,7/15/20,10/14/20,0,0